datasets/testfiles/bnd_series_1.test

600
UP changed 
[END] 2023-06-24T17:40:50

[INSTANCE] bnd_s1_i29.mps.gz
[START] 2023-06-24T17:40:50
[DUALBOUND] 12648.000000000
[END] 2023-06-24T17:45:04

[INSTANCE] bnd_s1_i30.mps.gz
[START] 2023-06-24T17:45:04
[DUALBOUND] 11547.000000000
[END] 2023-06-24T17:49:16

[INSTANCE] bnd_s1_i31.mps.gz
[START] 2023-06-24T17:49:16
[DUALBOUND] 13505.000000000
[END] 2023-06-24T17:53:37

[INSTANCE] bnd_s1_i32.mps.gz
[START] 2023-06-24T17:53:37
[DUALBOUND] 11559.000000000
[END] 2023-06-24T18:01:17

[INSTANCE] bnd_s1_i33.mps.gz
[START] 2023-06-24T18:01:17
[DUALBOUND] 11647.000000000
[END] 2023-06-24T18:05:39

[INSTANCE] bnd_s1_i34.mps.gz
[START] 2023-06-24T18:05:39
[DUALBOUND] 14534.000000000
[END] 2023-06-24T18:11:03

[INSTANCE] bnd_s1_i35.mps.gz
[START] 2023-06-24T18:11:03
[DUALBOUND] 12673.857592178
[END] 2023-06-24T18:21:02

[INSTANCE] bnd_s1_i36.mps.gz
[START] 2023-06-24T18:21:02
[DUALBOUND] 11607.000000000
[END] 2023-06-24T18:28:35

[INSTANCE] bnd_s1_i37.mps.gz
[START] 2023-06-24T18:28:35
[DUALBOUND] 11766.000000000
[END] 2023-06-24T18:32:38

[INSTANCE] bnd_s1_i38.mps.gz
[START] 2023-06-24T18:32:38
[DUALBOUND] 13381.000000000
[END] 2023-06-24T18:38:15

[INSTANCE] bnd_s1_i39.mps.gz
[START] 2023-06-24T18:38:15
[DUALBOUND] 12048.000000000
[END] 2023-06-24T18:39:39

[INSTANCE] bnd_s1_i40.mps.gz
[START] 2023-06-24T18:39:39
[DUALBOUND] 12007.000000000
[END] 2023-06-24T18:46:03

[INSTANCE] bnd_s1_i41.mps.gz
[START] 2023-06-24T18:46:03
[DUALBOUND] 11989.000000000
[END] 2023-06-24T18:48:40

[INSTANCE] bnd_s1_i42.mps.gz
[START] 2023-06-24T18:48:40
[DUALBOUND] 11874.000000000
[END] 2023-06-24T18:51:08

[INSTANCE] bnd_s1_i43.mps.gz
[START] 2023-06-24T18:51:08
[DUALBOUND] 13167.000000000
[END] 2023-06-24T18:58:18

[INSTANCE] bnd_s1_i44.mps.gz
[START] 2023-06-24T18:58:18
[DUALBOUND] 11749.000000000
[END] 2023-06-24T18:58:54

[INSTANCE] bnd_s1_i45.mps.gz
[START] 2023-06-24T18:58:54
[DUALBOUND] 11207.368856987
[END] 2023-06-24T19:08:53

[INSTANCE] bnd_s1_i46.mps.gz
[START] 2023-06-24T19:08:53
[DUALBOUND] 11826.000000000
[END] 2023-06-24T19:12:38

[INSTANCE] bnd_s1_i47.mps.gz
[START] 2023-06-24T19:12:38
[DUALBOUND] 13610.000000000
[END] 2023-06-24T19:14:15

[INSTANCE] bnd_s1_i48.mps.gz
[START] 2023-06-24T19:14:15
[DUALBOUND] 11537.000000000
[END] 2023-06-24T19:17:38

[INSTANCE] bnd_s1_i49.mps.gz
[START] 2023-06-24T19:17:38
[DUALBOUND] 11685.000000000
[END] 2023-06-24T19:21:39

[INSTANCE] bnd_s1_i50.mps.gz
[START] 2023-06-24T19:21:39
[DUALBOUND] 14555.000000000
[END] 2023-06-24T19:25:48

Provided hints: 0 successful hints: 0
