datasets/testfiles/rhs_series_2.test

60
RHS changed 
[START] 2023-06-24T15:37:12
[DUALBOUND] -17188.339826947
[END] 2023-06-24T15:38:11

[INSTANCE] rhs_s2_i29.mps.gz
[START] 2023-06-24T15:38:11
[DUALBOUND] -17169.263043562
[END] 2023-06-24T15:39:04

[INSTANCE] rhs_s2_i30.mps.gz
[START] 2023-06-24T15:39:04
[DUALBOUND] -17186.162022187
[END] 2023-06-24T15:40:03

[INSTANCE] rhs_s2_i31.mps.gz
[START] 2023-06-24T15:40:03
[DUALBOUND] -17180.733934021
[END] 2023-06-24T15:41:02

[INSTANCE] rhs_s2_i32.mps.gz
[START] 2023-06-24T15:41:03
[DUALBOUND] -17169.622307493
[END] 2023-06-24T15:42:00

[INSTANCE] rhs_s2_i33.mps.gz
[START] 2023-06-24T15:42:00
[DUALBOUND] -17192.590313693
[END] 2023-06-24T15:42:59

[INSTANCE] rhs_s2_i34.mps.gz
[START] 2023-06-24T15:42:59
[DUALBOUND] -17180.210706945
[END] 2023-06-24T15:43:58

[INSTANCE] rhs_s2_i35.mps.gz
[START] 2023-06-24T15:43:58
[DUALBOUND] -17186.927672377
[END] 2023-06-24T15:44:57

[INSTANCE] rhs_s2_i36.mps.gz
[START] 2023-06-24T15:44:58
[DUALBOUND] -17170.099038570
[END] 2023-06-24T15:45:52

[INSTANCE] rhs_s2_i37.mps.gz
[START] 2023-06-24T15:45:52
[DUALBOUND] -17170.221410587
[END] 2023-06-24T15:46:49

[INSTANCE] rhs_s2_i38.mps.gz
[START] 2023-06-24T15:46:49
[DUALBOUND] -17185.817572496
[END] 2023-06-24T15:47:48

[INSTANCE] rhs_s2_i39.mps.gz
[START] 2023-06-24T15:47:48
[DUALBOUND] -17170.452779256
[END] 2023-06-24T15:48:32

[INSTANCE] rhs_s2_i40.mps.gz
[START] 2023-06-24T15:48:32
[DUALBOUND] -17170.560042528
[END] 2023-06-24T15:49:17

[INSTANCE] rhs_s2_i41.mps.gz
[START] 2023-06-24T15:49:17
[DUALBOUND] -17170.670857626
[END] 2023-06-24T15:50:08

[INSTANCE] rhs_s2_i42.mps.gz
[START] 2023-06-24T15:50:08
[DUALBOUND] -17170.784164336
[END] 2023-06-24T15:50:58

[INSTANCE] rhs_s2_i43.mps.gz
[START] 2023-06-24T15:50:58
[DUALBOUND] -17170.898720059
[END] 2023-06-24T15:51:45

[INSTANCE] rhs_s2_i44.mps.gz
[START] 2023-06-24T15:51:45
[DUALBOUND] -17171.004099146
[END] 2023-06-24T15:52:42

[INSTANCE] rhs_s2_i45.mps.gz
[START] 2023-06-24T15:52:42
[DUALBOUND] -17171.120891672
[END] 2023-06-24T15:53:34

[INSTANCE] rhs_s2_i46.mps.gz
[START] 2023-06-24T15:53:34
[DUALBOUND] -17188.173514155
[END] 2023-06-24T15:54:33

[INSTANCE] rhs_s2_i47.mps.gz
[START] 2023-06-24T15:54:33
[DUALBOUND] -17171.326602519
[END] 2023-06-24T15:55:20

[INSTANCE] rhs_s2_i48.mps.gz
[START] 2023-06-24T15:55:20
[DUALBOUND] -17171.426258483
[END] 2023-06-24T15:56:17

[INSTANCE] rhs_s2_i49.mps.gz
[START] 2023-06-24T15:56:17
[DUALBOUND] -17171.525260385
[END] 2023-06-24T15:57:03

[INSTANCE] rhs_s2_i50.mps.gz
[START] 2023-06-24T15:57:03
[DUALBOUND] -17171.630807882
[END] 2023-06-24T15:57:45

Provided hints: 0 successful hints: 0
