datasets/testfiles/bnd_series_1.test

600
UP changed 
[END] 2023-02-18T03:44:29

[INSTANCE] bnd_s1_i29.mps.gz
[START] 2023-02-18T03:44:29
[DUALBOUND] 12648.000000000
[END] 2023-02-18T03:48:51

[INSTANCE] bnd_s1_i30.mps.gz
[START] 2023-02-18T03:48:51
[DUALBOUND] 11547.000000000
[END] 2023-02-18T03:50:09

[INSTANCE] bnd_s1_i31.mps.gz
[START] 2023-02-18T03:50:09
[DUALBOUND] 13505.000000000
[END] 2023-02-18T03:53:55

[INSTANCE] bnd_s1_i32.mps.gz
[START] 2023-02-18T03:53:55
[DUALBOUND] 11559.000000000
[END] 2023-02-18T03:59:31

[INSTANCE] bnd_s1_i33.mps.gz
[START] 2023-02-18T03:59:31
[DUALBOUND] 11647.000000000
[END] 2023-02-18T04:03:12

[INSTANCE] bnd_s1_i34.mps.gz
[START] 2023-02-18T04:03:12
[DUALBOUND] 14534.000000000
[END] 2023-02-18T04:06:21

[INSTANCE] bnd_s1_i35.mps.gz
[START] 2023-02-18T04:06:21
[DUALBOUND] 12761.945777336
[END] 2023-02-18T04:16:19

[INSTANCE] bnd_s1_i36.mps.gz
[START] 2023-02-18T04:16:19
[DUALBOUND] 11607.000000000
[END] 2023-02-18T04:23:21

[INSTANCE] bnd_s1_i37.mps.gz
[START] 2023-02-18T04:23:21
[DUALBOUND] 11766.000000000
[END] 2023-02-18T04:27:02

[INSTANCE] bnd_s1_i38.mps.gz
[START] 2023-02-18T04:27:02
[DUALBOUND] 13381.000000000
[END] 2023-02-18T04:30:00

[INSTANCE] bnd_s1_i39.mps.gz
[START] 2023-02-18T04:30:00
[DUALBOUND] 12048.000000000
[END] 2023-02-18T04:31:28

[INSTANCE] bnd_s1_i40.mps.gz
[START] 2023-02-18T04:31:28
[DUALBOUND] 12007.000000000
[END] 2023-02-18T04:35:39

[INSTANCE] bnd_s1_i41.mps.gz
[START] 2023-02-18T04:35:39
[DUALBOUND] 11989.000000000
[END] 2023-02-18T04:37:09

[INSTANCE] bnd_s1_i42.mps.gz
[START] 2023-02-18T04:37:09
[DUALBOUND] 11874.000000000
[END] 2023-02-18T04:39:39

[INSTANCE] bnd_s1_i43.mps.gz
[START] 2023-02-18T04:39:39
[DUALBOUND] 13087.075255180
[END] 2023-02-18T04:49:37

[INSTANCE] bnd_s1_i44.mps.gz
[START] 2023-02-18T04:49:37
[DUALBOUND] 11749.000000000
[END] 2023-02-18T04:50:19

[INSTANCE] bnd_s1_i45.mps.gz
[START] 2023-02-18T04:50:19
[DUALBOUND] 11460.000000000
[END] 2023-02-18T04:59:14

[INSTANCE] bnd_s1_i46.mps.gz
[START] 2023-02-18T04:59:14
[DUALBOUND] 11826.000000000
[END] 2023-02-18T05:00:43

[INSTANCE] bnd_s1_i47.mps.gz
[START] 2023-02-18T05:00:43
[DUALBOUND] 13610.000000000
[END] 2023-02-18T05:01:24

[INSTANCE] bnd_s1_i48.mps.gz
[START] 2023-02-18T05:01:24
[DUALBOUND] 11537.000000000
[END] 2023-02-18T05:04:19

[INSTANCE] bnd_s1_i49.mps.gz
[START] 2023-02-18T05:04:19
[DUALBOUND] 11685.000000000
[END] 2023-02-18T05:06:22

[INSTANCE] bnd_s1_i50.mps.gz
[START] 2023-02-18T05:06:22
[DUALBOUND] 14555.000000000
[END] 2023-02-18T05:11:42

provide_hint
Value 1 count 4 Qscore -1.026616237 Final score -0.951616237
Value 0 count 45 Qscore -0.434390662 Final score -0.427723996
max_cuts
Value 100 count 45 Qscore -0.446181141 Final score -0.439514474
Value 0 count 4 Qscore -0.893973352 Final score -0.818973352
max_cuts_root
Value 2000 count 45 Qscore -0.432347843 Final score -0.425681176
Value 0 count 4 Qscore -1.049597956 Final score -0.974597956
Provided hints: 7 successful hints: 4
fullstrong               calls 286        maxdepth 0          time 588.758738000
relpscost                calls 910385     maxdepth 0          time 3799.927076000
adaptivediving           calls 1581       solns 7     bestsolns 5     time 22.287686000
alns                     calls 508        solns 154   bestsolns 145   time 19.457247000
clique                   calls 20         solns 0     bestsolns 0     time 0.113881000
completesol              calls 7          solns 9     bestsolns 6     time 4.907447000
conflictdiving           calls 1170       solns 3     bestsolns 2     time 29.365324000
crossover                calls 919        solns 670   bestsolns 66    time 28.225518000
distributiondiving       calls 1143       solns 4     bestsolns 4     time 69.861435000
farkasdiving             calls 152        solns 11    bestsolns 11    time 39.434817000
feaspump                 calls 123        solns 47    bestsolns 7     time 6.979355000
fracdiving               calls 706        solns 0     bestsolns 0     time 8.655390000
gins                     calls 56         solns 6     bestsolns 6     time 1.536895000
guideddiving             calls 1120       solns 10    bestsolns 7     time 16.298293000
linesearchdiving         calls 1162       solns 4     bestsolns 4     time 16.013686000
locks                    calls 50         solns 46    bestsolns 46    time 0.536056000
objpscostdiving          calls 458        solns 197   bestsolns 2     time 80.839662000
oneopt                   calls 773        solns 111   bestsolns 111   time 0.652178000
pscostdiving             calls 1171       solns 19    bestsolns 14    time 35.581990000
randrounding             calls 87837      solns 18    bestsolns 10    time 5.951243000
rens                     calls 50         solns 39    bestsolns 37    time 39.170668000
rins                     calls 808        solns 583   bestsolns 159   time 23.909639000
rootsoldiving            calls 488        solns 48    bestsolns 1     time 39.638739000
rounding                 calls 343938     solns 197   bestsolns 197   time 27.484998000
shifting                 calls 148816     solns 4436  bestsolns 96    time 41.611956000
simplerounding           calls 1363056    solns 40    bestsolns 0     time 19.004716000
trivial                  calls 40         solns 0     bestsolns 0     time 0.072480000
vbounds                  calls 50         solns 22    bestsolns 22    time 0.861588000
veclendiving             calls 1162       solns 1     bestsolns 1     time 9.451896000
zirounding               calls 48917      solns 33    bestsolns 0     time 1.036025000
domcol                   calls 94         changes 1          time 0.093079000
dualsparsify             calls 50         changes 0          time 0.070731000
gateextraction           calls 34         changes 0          time 0.003831000
implics                  calls 391        changes 0          time 0.006152000
inttobinary              calls 607        changes 0          time 0.000434000
milp                     calls 53         changes 36393      time 0.471525000
sparsify                 calls 50         changes 0          time 0.282687000
trivial                  calls 768        changes 220        time 0.033970000
aggregation              calls 50845      cuts_found 62827      cuts_added 50808      time 28.178785000
clique                   calls 1881       cuts_found 105        cuts_added 161        time 2.852143000
gomory                   calls 40945      cuts_found 382388     cuts_added 68055      time 270.231342000
impliedbounds            calls 50845      cuts_found 93199      cuts_added 130866     time 10.529245000
mcf                      calls 1197       cuts_found 22617      cuts_added 986        time 25.946361000
mixing                   calls 16296      cuts_found 0          cuts_added 0          time 0.014876000
rapidlearning            calls 152        cuts_found 0          cuts_added 0          time 11.610688000
rlt                      calls 460        cuts_found 0          cuts_added 0          time 0.001522000
zerohalf                 calls 41405      cuts_found 12062      cuts_added 27001      time 42.008015000
