datasets/testfiles/rhs_series_2.test

60
RHS changed 
[START] 2023-06-22T15:18:30
[DUALBOUND] -17198.886981138
[END] 2023-06-22T15:19:29

[INSTANCE] rhs_s2_i29.mps.gz
[START] 2023-06-22T15:19:29
[DUALBOUND] -17187.389395715
[END] 2023-06-22T15:20:28

[INSTANCE] rhs_s2_i30.mps.gz
[START] 2023-06-22T15:20:28
[DUALBOUND] -17189.637750298
[END] 2023-06-22T15:21:27

[INSTANCE] rhs_s2_i31.mps.gz
[START] 2023-06-22T15:21:27
[DUALBOUND] -17195.407569768
[END] 2023-06-22T15:22:26

[INSTANCE] rhs_s2_i32.mps.gz
[START] 2023-06-22T15:22:26
[DUALBOUND] -17188.969037040
[END] 2023-06-22T15:23:25

[INSTANCE] rhs_s2_i33.mps.gz
[START] 2023-06-22T15:23:25
[DUALBOUND] -17200.671718136
[END] 2023-06-22T15:24:25

[INSTANCE] rhs_s2_i34.mps.gz
[START] 2023-06-22T15:24:25
[DUALBOUND] -17193.281832685
[END] 2023-06-22T15:25:24

[INSTANCE] rhs_s2_i35.mps.gz
[START] 2023-06-22T15:25:24
[DUALBOUND] -17197.293561383
[END] 2023-06-22T15:26:23

[INSTANCE] rhs_s2_i36.mps.gz
[START] 2023-06-22T15:26:23
[DUALBOUND] -17189.211036406
[END] 2023-06-22T15:27:22

[INSTANCE] rhs_s2_i37.mps.gz
[START] 2023-06-22T15:27:22
[DUALBOUND] -17188.589613167
[END] 2023-06-22T15:28:21

[INSTANCE] rhs_s2_i38.mps.gz
[START] 2023-06-22T15:28:21
[DUALBOUND] -17196.615715667
[END] 2023-06-22T15:29:20

[INSTANCE] rhs_s2_i39.mps.gz
[START] 2023-06-22T15:29:20
[DUALBOUND] -17170.452779256
[END] 2023-06-22T15:30:16

[INSTANCE] rhs_s2_i40.mps.gz
[START] 2023-06-22T15:30:16
[DUALBOUND] -17181.085635953
[END] 2023-06-22T15:31:15

[INSTANCE] rhs_s2_i41.mps.gz
[START] 2023-06-22T15:31:15
[DUALBOUND] -17186.894599670
[END] 2023-06-22T15:32:14

[INSTANCE] rhs_s2_i42.mps.gz
[START] 2023-06-22T15:32:14
[DUALBOUND] -17189.442296191
[END] 2023-06-22T15:33:13

[INSTANCE] rhs_s2_i43.mps.gz
[START] 2023-06-22T15:33:13
[DUALBOUND] -17188.053241846
[END] 2023-06-22T15:34:12

[INSTANCE] rhs_s2_i44.mps.gz
[START] 2023-06-22T15:34:12
[DUALBOUND] -17190.392370212
[END] 2023-06-22T15:35:11

[INSTANCE] rhs_s2_i45.mps.gz
[START] 2023-06-22T15:35:11
[DUALBOUND] -17191.977818188
[END] 2023-06-22T15:36:10

[INSTANCE] rhs_s2_i46.mps.gz
[START] 2023-06-22T15:36:10
[DUALBOUND] -17198.301614718
[END] 2023-06-22T15:37:09

[INSTANCE] rhs_s2_i47.mps.gz
[START] 2023-06-22T15:37:09
[DUALBOUND] -17196.854829281
[END] 2023-06-22T15:38:08

[INSTANCE] rhs_s2_i48.mps.gz
[START] 2023-06-22T15:38:09
[DUALBOUND] -17184.976559988
[END] 2023-06-22T15:39:08

[INSTANCE] rhs_s2_i49.mps.gz
[START] 2023-06-22T15:39:08
[DUALBOUND] -17189.308802471
[END] 2023-06-22T15:40:07

[INSTANCE] rhs_s2_i50.mps.gz
[START] 2023-06-22T15:40:07
[DUALBOUND] -17171.630807882
[END] 2023-06-22T15:41:00

Provided hints: 0 successful hints: 0
