datasets/testfiles/bnd_series_1.test

600
UP changed 
[END] 2023-06-22T18:21:20

[INSTANCE] bnd_s1_i29.mps.gz
[START] 2023-06-22T18:21:20
[DUALBOUND] 12648.000000000
[END] 2023-06-22T18:28:24

[INSTANCE] bnd_s1_i30.mps.gz
[START] 2023-06-22T18:28:24
[DUALBOUND] 11547.000000000
[END] 2023-06-22T18:36:41

[INSTANCE] bnd_s1_i31.mps.gz
[START] 2023-06-22T18:36:41
[DUALBOUND] 13505.000000000
[END] 2023-06-22T18:44:13

[INSTANCE] bnd_s1_i32.mps.gz
[START] 2023-06-22T18:44:13
[DUALBOUND] 11392.493333745
[END] 2023-06-22T18:54:12

[INSTANCE] bnd_s1_i33.mps.gz
[START] 2023-06-22T18:54:12
[DUALBOUND] 11366.119084505
[END] 2023-06-22T19:04:11

[INSTANCE] bnd_s1_i34.mps.gz
[START] 2023-06-22T19:04:11
[DUALBOUND] 14534.000000000
[END] 2023-06-22T19:10:50

[INSTANCE] bnd_s1_i35.mps.gz
[START] 2023-06-22T19:10:50
[DUALBOUND] 12568.434093018
[END] 2023-06-22T19:20:49

[INSTANCE] bnd_s1_i36.mps.gz
[START] 2023-06-22T19:20:49
[DUALBOUND] 11391.723704572
[END] 2023-06-22T19:30:48

[INSTANCE] bnd_s1_i37.mps.gz
[START] 2023-06-22T19:30:49
[DUALBOUND] 11766.000000000
[END] 2023-06-22T19:40:21

[INSTANCE] bnd_s1_i38.mps.gz
[START] 2023-06-22T19:40:21
[DUALBOUND] 13381.000000000
[END] 2023-06-22T19:41:57

[INSTANCE] bnd_s1_i39.mps.gz
[START] 2023-06-22T19:41:57
[DUALBOUND] 12048.000000000
[END] 2023-06-22T19:45:13

[INSTANCE] bnd_s1_i40.mps.gz
[START] 2023-06-22T19:45:13
[DUALBOUND] 11800.686480561
[END] 2023-06-22T19:55:12

[INSTANCE] bnd_s1_i41.mps.gz
[START] 2023-06-22T19:55:12
[DUALBOUND] 11989.000000000
[END] 2023-06-22T19:58:47

[INSTANCE] bnd_s1_i42.mps.gz
[START] 2023-06-22T19:58:47
[DUALBOUND] 11874.000000000
[END] 2023-06-22T20:04:59

[INSTANCE] bnd_s1_i43.mps.gz
[START] 2023-06-22T20:04:59
[DUALBOUND] 13167.000000000
[END] 2023-06-22T20:11:27

[INSTANCE] bnd_s1_i44.mps.gz
[START] 2023-06-22T20:11:27
[DUALBOUND] 11749.000000000
[END] 2023-06-22T20:14:50

[INSTANCE] bnd_s1_i45.mps.gz
[START] 2023-06-22T20:14:50
[DUALBOUND] 11243.375336095
[END] 2023-06-22T20:24:49

[INSTANCE] bnd_s1_i46.mps.gz
[START] 2023-06-22T20:24:49
[DUALBOUND] 11826.000000000
[END] 2023-06-22T20:32:27

[INSTANCE] bnd_s1_i47.mps.gz
[START] 2023-06-22T20:32:27
[DUALBOUND] 13610.000000000
[END] 2023-06-22T20:35:02

[INSTANCE] bnd_s1_i48.mps.gz
[START] 2023-06-22T20:35:02
[DUALBOUND] 11537.000000000
[END] 2023-06-22T20:39:07

[INSTANCE] bnd_s1_i49.mps.gz
[START] 2023-06-22T20:39:07
[DUALBOUND] 11685.000000000
[END] 2023-06-22T20:48:12

[INSTANCE] bnd_s1_i50.mps.gz
[START] 2023-06-22T20:48:12
[DUALBOUND] 14555.000000000
[END] 2023-06-22T20:55:11

Provided hints: 0 successful hints: 0
