datasets/testfiles/rhs_series_2.test

60
RHS changed 
[START] 2023-06-20T11:48:03
[DUALBOUND] -17186.702087447
[END] 2023-06-20T11:49:02

[INSTANCE] rhs_s2_i29.mps.gz
[START] 2023-06-20T11:49:02
[DUALBOUND] -17183.217655817
[END] 2023-06-20T11:50:01

[INSTANCE] rhs_s2_i30.mps.gz
[START] 2023-06-20T11:50:02
[DUALBOUND] -17189.851556834
[END] 2023-06-20T11:51:01

[INSTANCE] rhs_s2_i31.mps.gz
[START] 2023-06-20T11:51:01
[DUALBOUND] -17196.667346377
[END] 2023-06-20T11:52:00

[INSTANCE] rhs_s2_i32.mps.gz
[START] 2023-06-20T11:52:00
[DUALBOUND] -17169.622307493
[END] 2023-06-20T11:52:58

[INSTANCE] rhs_s2_i33.mps.gz
[START] 2023-06-20T11:52:58
[DUALBOUND] -17189.390982272
[END] 2023-06-20T11:53:57

[INSTANCE] rhs_s2_i34.mps.gz
[START] 2023-06-20T11:53:57
[DUALBOUND] -17188.686203026
[END] 2023-06-20T11:54:56

[INSTANCE] rhs_s2_i35.mps.gz
[START] 2023-06-20T11:54:56
[DUALBOUND] -17188.267440066
[END] 2023-06-20T11:55:55

[INSTANCE] rhs_s2_i36.mps.gz
[START] 2023-06-20T11:55:55
[DUALBOUND] -17170.099038570
[END] 2023-06-20T11:56:50

[INSTANCE] rhs_s2_i37.mps.gz
[START] 2023-06-20T11:56:50
[DUALBOUND] -17191.319939615
[END] 2023-06-20T11:57:49

[INSTANCE] rhs_s2_i38.mps.gz
[START] 2023-06-20T11:57:49
[DUALBOUND] -17185.917488226
[END] 2023-06-20T11:58:48

[INSTANCE] rhs_s2_i39.mps.gz
[START] 2023-06-20T11:58:48
[DUALBOUND] -17170.452779256
[END] 2023-06-20T11:59:44

[INSTANCE] rhs_s2_i40.mps.gz
[START] 2023-06-20T11:59:44
[DUALBOUND] -17170.560042528
[END] 2023-06-20T12:00:37

[INSTANCE] rhs_s2_i41.mps.gz
[START] 2023-06-20T12:00:37
[DUALBOUND] -17170.670857626
[END] 2023-06-20T12:01:30

[INSTANCE] rhs_s2_i42.mps.gz
[START] 2023-06-20T12:01:30
[DUALBOUND] -17170.784164336
[END] 2023-06-20T12:02:21

[INSTANCE] rhs_s2_i43.mps.gz
[START] 2023-06-20T12:02:21
[DUALBOUND] -17170.898720059
[END] 2023-06-20T12:03:14

[INSTANCE] rhs_s2_i44.mps.gz
[START] 2023-06-20T12:03:14
[DUALBOUND] -17171.004099146
[END] 2023-06-20T12:04:11

[INSTANCE] rhs_s2_i45.mps.gz
[START] 2023-06-20T12:04:11
[DUALBOUND] -17171.120891672
[END] 2023-06-20T12:05:02

[INSTANCE] rhs_s2_i46.mps.gz
[START] 2023-06-20T12:05:03
[DUALBOUND] -17190.022407857
[END] 2023-06-20T12:06:02

[INSTANCE] rhs_s2_i47.mps.gz
[START] 2023-06-20T12:06:02
[DUALBOUND] -17191.987135194
[END] 2023-06-20T12:07:01

[INSTANCE] rhs_s2_i48.mps.gz
[START] 2023-06-20T12:07:01
[DUALBOUND] -17171.426258483
[END] 2023-06-20T12:07:52

[INSTANCE] rhs_s2_i49.mps.gz
[START] 2023-06-20T12:07:52
[DUALBOUND] -17171.525260385
[END] 2023-06-20T12:08:42

[INSTANCE] rhs_s2_i50.mps.gz
[START] 2023-06-20T12:08:42
[DUALBOUND] -17171.630807882
[END] 2023-06-20T12:09:39

Provided hints: 49 successful hints: 49
