datasets/testfiles/bnd_series_1.test

600
UP changed 
[END] 2023-06-20T14:59:57

[INSTANCE] bnd_s1_i29.mps.gz
[START] 2023-06-20T14:59:57
[DUALBOUND] 12648.000000000
[END] 2023-06-20T15:06:46

[INSTANCE] bnd_s1_i30.mps.gz
[START] 2023-06-20T15:06:46
[DUALBOUND] 11337.628046215
[END] 2023-06-20T15:16:45

[INSTANCE] bnd_s1_i31.mps.gz
[START] 2023-06-20T15:16:45
[DUALBOUND] 12348.000000000
[END] 2023-06-20T15:26:44

[INSTANCE] bnd_s1_i32.mps.gz
[START] 2023-06-20T15:26:44
[DUALBOUND] 10891.000000000
[END] 2023-06-20T15:36:43

[INSTANCE] bnd_s1_i33.mps.gz
[START] 2023-06-20T15:36:43
[DUALBOUND] 10941.280020238
[END] 2023-06-20T15:46:42

[INSTANCE] bnd_s1_i34.mps.gz
[START] 2023-06-20T15:46:42
[DUALBOUND] 14534.000000000
[END] 2023-06-20T15:52:57

[INSTANCE] bnd_s1_i35.mps.gz
[START] 2023-06-20T15:52:57
[DUALBOUND] 12594.593775150
[END] 2023-06-20T16:02:56

[INSTANCE] bnd_s1_i36.mps.gz
[START] 2023-06-20T16:02:56
[DUALBOUND] 10718.000000000
[END] 2023-06-20T16:12:55

[INSTANCE] bnd_s1_i37.mps.gz
[START] 2023-06-20T16:12:55
[DUALBOUND] 11163.000000000
[END] 2023-06-20T16:22:54

[INSTANCE] bnd_s1_i38.mps.gz
[START] 2023-06-20T16:22:54
[DUALBOUND] 13381.000000000
[END] 2023-06-20T16:24:22

[INSTANCE] bnd_s1_i39.mps.gz
[START] 2023-06-20T16:24:22
[DUALBOUND] 12048.000000000
[END] 2023-06-20T16:27:21

[INSTANCE] bnd_s1_i40.mps.gz
[START] 2023-06-20T16:27:21
[DUALBOUND] 11823.665719266
[END] 2023-06-20T16:37:20

[INSTANCE] bnd_s1_i41.mps.gz
[START] 2023-06-20T16:37:21
[DUALBOUND] 11271.000000000
[END] 2023-06-20T16:47:20

[INSTANCE] bnd_s1_i42.mps.gz
[START] 2023-06-20T16:47:20
[DUALBOUND] 11874.000000000
[END] 2023-06-20T16:53:14

[INSTANCE] bnd_s1_i43.mps.gz
[START] 2023-06-20T16:53:14
[DUALBOUND] 13167.000000000
[END] 2023-06-20T16:59:22

[INSTANCE] bnd_s1_i44.mps.gz
[START] 2023-06-20T16:59:22
[DUALBOUND] 11749.000000000
[END] 2023-06-20T17:02:34

[INSTANCE] bnd_s1_i45.mps.gz
[START] 2023-06-20T17:02:34
[DUALBOUND] 10501.000000000
[END] 2023-06-20T17:12:33

[INSTANCE] bnd_s1_i46.mps.gz
[START] 2023-06-20T17:12:33
[DUALBOUND] 11386.000000000
[END] 2023-06-20T17:22:32

[INSTANCE] bnd_s1_i47.mps.gz
[START] 2023-06-20T17:22:32
[DUALBOUND] 13610.000000000
[END] 2023-06-20T17:25:00

[INSTANCE] bnd_s1_i48.mps.gz
[START] 2023-06-20T17:25:00
[DUALBOUND] 11139.000000000
[END] 2023-06-20T17:34:59

[INSTANCE] bnd_s1_i49.mps.gz
[START] 2023-06-20T17:34:59
[DUALBOUND] 10971.000000000
[END] 2023-06-20T17:44:58

[INSTANCE] bnd_s1_i50.mps.gz
[START] 2023-06-20T17:44:58
[DUALBOUND] 14555.000000000
[END] 2023-06-20T17:51:31

Provided hints: 49 successful hints: 20
