datasets/testfiles/bnd_series_1.test

600
UP changed 
[END] 2023-02-28T11:05:45

[INSTANCE] bnd_s1_i29.mps.gz
[START] 2023-02-28T11:05:45
[DUALBOUND] 12648.000000000
[END] 2023-02-28T11:12:19

[INSTANCE] bnd_s1_i30.mps.gz
[START] 2023-02-28T11:12:19
[DUALBOUND] 11547.000000000
[END] 2023-02-28T11:15:42

[INSTANCE] bnd_s1_i31.mps.gz
[START] 2023-02-28T11:15:42
[DUALBOUND] 13505.000000000
[END] 2023-02-28T11:20:56

[INSTANCE] bnd_s1_i32.mps.gz
[START] 2023-02-28T11:20:56
[DUALBOUND] 11452.794752322
[END] 2023-02-28T11:30:54

[INSTANCE] bnd_s1_i33.mps.gz
[START] 2023-02-28T11:30:54
[DUALBOUND] 11647.000000000
[END] 2023-02-28T11:35:55

[INSTANCE] bnd_s1_i34.mps.gz
[START] 2023-02-28T11:35:55
[DUALBOUND] 14534.000000000
[END] 2023-02-28T11:41:09

[INSTANCE] bnd_s1_i35.mps.gz
[START] 2023-02-28T11:41:09
[DUALBOUND] 12683.393063573
[END] 2023-02-28T11:51:08

[INSTANCE] bnd_s1_i36.mps.gz
[START] 2023-02-28T11:51:08
[DUALBOUND] 11460.541638352
[END] 2023-02-28T12:01:06

[INSTANCE] bnd_s1_i37.mps.gz
[START] 2023-02-28T12:01:06
[DUALBOUND] 11766.000000000
[END] 2023-02-28T12:05:10

[INSTANCE] bnd_s1_i38.mps.gz
[START] 2023-02-28T12:05:10
[DUALBOUND] 13381.000000000
[END] 2023-02-28T12:06:24

[INSTANCE] bnd_s1_i39.mps.gz
[START] 2023-02-28T12:06:24
[DUALBOUND] 12048.000000000
[END] 2023-02-28T12:08:28

[INSTANCE] bnd_s1_i40.mps.gz
[START] 2023-02-28T12:08:28
[DUALBOUND] 12007.000000000
[END] 2023-02-28T12:12:36

[INSTANCE] bnd_s1_i41.mps.gz
[START] 2023-02-28T12:12:36
[DUALBOUND] 11989.000000000
[END] 2023-02-28T12:14:09

[INSTANCE] bnd_s1_i42.mps.gz
[START] 2023-02-28T12:14:09
[DUALBOUND] 11874.000000000
[END] 2023-02-28T12:17:20

[INSTANCE] bnd_s1_i43.mps.gz
[START] 2023-02-28T12:17:20
[DUALBOUND] 13167.000000000
[END] 2023-02-28T12:25:28

[INSTANCE] bnd_s1_i44.mps.gz
[START] 2023-02-28T12:25:28
[DUALBOUND] 11749.000000000
[END] 2023-02-28T12:26:05

[INSTANCE] bnd_s1_i45.mps.gz
[START] 2023-02-28T12:26:05
[DUALBOUND] 11206.268035457
[END] 2023-02-28T12:36:03

[INSTANCE] bnd_s1_i46.mps.gz
[START] 2023-02-28T12:36:03
[DUALBOUND] 11826.000000000
[END] 2023-02-28T12:39:18

[INSTANCE] bnd_s1_i47.mps.gz
[START] 2023-02-28T12:39:18
[DUALBOUND] 13610.000000000
[END] 2023-02-28T12:40:01

[INSTANCE] bnd_s1_i48.mps.gz
[START] 2023-02-28T12:40:01
[DUALBOUND] 11537.000000000
[END] 2023-02-28T12:42:34

[INSTANCE] bnd_s1_i49.mps.gz
[START] 2023-02-28T12:42:34
[DUALBOUND] 11685.000000000
[END] 2023-02-28T12:45:11

[INSTANCE] bnd_s1_i50.mps.gz
[START] 2023-02-28T12:45:11
[DUALBOUND] 14555.000000000
[END] 2023-02-28T12:50:17

provide_hint
Value 1 count 4 Qscore -1.065022181 Final score -0.990022181
Value 0 count 45 Qscore -0.519365605 Final score -0.512698939
max_cuts
Value 100 count 45 Qscore -0.533135538 Final score -0.526468871
Value 0 count 4 Qscore -0.910110438 Final score -0.835110438
max_cuts_root
Value 2000 count 45 Qscore -0.521700125 Final score -0.515033459
Value 0 count 4 Qscore -1.038758831 Final score -0.963758831
Provided hints: 7 successful hints: 4
fullstrong               calls 1109       maxdepth 0          time 584.908798000
relpscost                calls 903743     maxdepth 0          time 4472.620228000
adaptivediving           calls 1461       solns 10    bestsolns 6     time 24.233771000
alns                     calls 472        solns 127   bestsolns 120   time 19.893038000
clique                   calls 20         solns 0     bestsolns 0     time 0.108932000
completesol              calls 7          solns 8     bestsolns 5     time 6.150833000
conflictdiving           calls 1100       solns 3     bestsolns 3     time 40.508454000
crossover                calls 926        solns 673   bestsolns 76    time 31.260589000
distributiondiving       calls 1066       solns 2     bestsolns 2     time 80.575014000
farkasdiving             calls 92         solns 6     bestsolns 6     time 45.459617000
feaspump                 calls 141        solns 48    bestsolns 5     time 9.902703000
fracdiving               calls 1092       solns 10    bestsolns 9     time 24.516295000
gins                     calls 58         solns 2     bestsolns 2     time 1.649900000
guideddiving             calls 1081       solns 11    bestsolns 9     time 19.673919000
linesearchdiving         calls 1086       solns 2     bestsolns 1     time 17.836437000
locks                    calls 50         solns 46    bestsolns 46    time 0.589787000
objpscostdiving          calls 447        solns 212   bestsolns 5     time 100.795679000
oneopt                   calls 793        solns 114   bestsolns 114   time 0.641958000
pscostdiving             calls 1100       solns 15    bestsolns 9     time 41.112275000
randrounding             calls 91334      solns 17    bestsolns 9     time 5.986699000
rens                     calls 50         solns 39    bestsolns 39    time 60.503450000
rins                     calls 825        solns 604   bestsolns 158   time 27.327740000
rootsoldiving            calls 490        solns 37    bestsolns 0     time 47.470239000
rounding                 calls 366756     solns 197   bestsolns 197   time 27.806290000
shifting                 calls 142020     solns 4223  bestsolns 95    time 46.840080000
simplerounding           calls 1334319    solns 46    bestsolns 0     time 16.011174000
trivial                  calls 40         solns 0     bestsolns 0     time 0.063732000
vbounds                  calls 50         solns 24    bestsolns 24    time 0.857962000
veclendiving             calls 1086       solns 1     bestsolns 1     time 9.611203000
zirounding               calls 48755      solns 21    bestsolns 1     time 1.178438000
domcol                   calls 105        changes 1          time 0.123747000
dualsparsify             calls 50         changes 0          time 0.093934000
gateextraction           calls 43         changes 0          time 0.004267000
implics                  calls 424        changes 0          time 0.006114000
inttobinary              calls 658        changes 0          time 0.000500000
sparsify                 calls 54         changes 0          time 0.355797000
trivial                  calls 815        changes 303        time 0.036307000
aggregation              calls 48105      cuts_found 60348      cuts_added 45267      time 31.802374000
clique                   calls 1812       cuts_found 116        cuts_added 216        time 2.907461000
gomory                   calls 38670      cuts_found 270727     cuts_added 50200      time 357.871943000
impliedbounds            calls 48105      cuts_found 91530      cuts_added 124746     time 10.061364000
mcf                      calls 1207       cuts_found 23373      cuts_added 839        time 33.908599000
mixing                   calls 16029      cuts_found 0          cuts_added 0          time 0.014116000
rapidlearning            calls 157        cuts_found 0          cuts_added 0          time 11.079494000
rlt                      calls 460        cuts_found 0          cuts_added 0          time 0.001585000
zerohalf                 calls 39130      cuts_found 10797      cuts_added 24001      time 46.951184000
