datasets/testfiles/rhs_series_2.test

60
RHS changed 
[START] 2023-02-28T08:23:37
[DUALBOUND] -17169.140607468
[END] 2023-02-28T08:23:56

[INSTANCE] rhs_s2_i29.mps.gz
[START] 2023-02-28T08:23:56
[DUALBOUND] -17169.263043562
[END] 2023-02-28T08:24:14

[INSTANCE] rhs_s2_i30.mps.gz
[START] 2023-02-28T08:24:14
[DUALBOUND] -17169.380453743
[END] 2023-02-28T08:24:33

[INSTANCE] rhs_s2_i31.mps.gz
[START] 2023-02-28T08:24:33
[DUALBOUND] -17169.509214612
[END] 2023-02-28T08:24:53

[INSTANCE] rhs_s2_i32.mps.gz
[START] 2023-02-28T08:24:53
[DUALBOUND] -17169.622307493
[END] 2023-02-28T08:25:12

[INSTANCE] rhs_s2_i33.mps.gz
[START] 2023-02-28T08:25:12
[DUALBOUND] -17169.741673718
[END] 2023-02-28T08:25:32

[INSTANCE] rhs_s2_i34.mps.gz
[START] 2023-02-28T08:25:32
[DUALBOUND] -17169.864341626
[END] 2023-02-28T08:25:50

[INSTANCE] rhs_s2_i35.mps.gz
[START] 2023-02-28T08:25:50
[DUALBOUND] -17169.980053182
[END] 2023-02-28T08:26:09

[INSTANCE] rhs_s2_i36.mps.gz
[START] 2023-02-28T08:26:09
[DUALBOUND] -17170.099038570
[END] 2023-02-28T08:26:27

[INSTANCE] rhs_s2_i37.mps.gz
[START] 2023-02-28T08:26:27
[DUALBOUND] -17170.221410587
[END] 2023-02-28T08:26:46

[INSTANCE] rhs_s2_i38.mps.gz
[START] 2023-02-28T08:26:46
[DUALBOUND] -17170.339904795
[END] 2023-02-28T08:27:03

[INSTANCE] rhs_s2_i39.mps.gz
[START] 2023-02-28T08:27:04
[DUALBOUND] -17170.452779256
[END] 2023-02-28T08:27:21

[INSTANCE] rhs_s2_i40.mps.gz
[START] 2023-02-28T08:27:22
[DUALBOUND] -17170.560042528
[END] 2023-02-28T08:27:39

[INSTANCE] rhs_s2_i41.mps.gz
[START] 2023-02-28T08:27:39
[DUALBOUND] -17170.670857626
[END] 2023-02-28T08:27:57

[INSTANCE] rhs_s2_i42.mps.gz
[START] 2023-02-28T08:27:57
[DUALBOUND] -17170.784164336
[END] 2023-02-28T08:28:15

[INSTANCE] rhs_s2_i43.mps.gz
[START] 2023-02-28T08:28:15
[DUALBOUND] -17170.898720059
[END] 2023-02-28T08:28:32

[INSTANCE] rhs_s2_i44.mps.gz
[START] 2023-02-28T08:28:32
[DUALBOUND] -17171.004099146
[END] 2023-02-28T08:28:49

[INSTANCE] rhs_s2_i45.mps.gz
[START] 2023-02-28T08:28:49
[DUALBOUND] -17171.120891672
[END] 2023-02-28T08:29:07

[INSTANCE] rhs_s2_i46.mps.gz
[START] 2023-02-28T08:29:07
[DUALBOUND] -17171.219485042
[END] 2023-02-28T08:29:25

[INSTANCE] rhs_s2_i47.mps.gz
[START] 2023-02-28T08:29:25
[DUALBOUND] -17171.326602519
[END] 2023-02-28T08:29:42

[INSTANCE] rhs_s2_i48.mps.gz
[START] 2023-02-28T08:29:42
[DUALBOUND] -17171.426258483
[END] 2023-02-28T08:30:02

[INSTANCE] rhs_s2_i49.mps.gz
[START] 2023-02-28T08:30:02
[DUALBOUND] -17171.525260385
[END] 2023-02-28T08:30:20

[INSTANCE] rhs_s2_i50.mps.gz
[START] 2023-02-28T08:30:20
[DUALBOUND] -17171.630807882
[END] 2023-02-28T08:30:37

provide_hint
Value 1 count 45 Qscore -0.413138923 Final score -0.406472256
Value 0 count 4 Qscore -0.761493354 Final score -0.686493354
max_cuts
Value 100 count 8 Qscore -0.747114260 Final score -0.709614260
Value 0 count 41 Qscore -0.381958801 Final score -0.374641728
max_cuts_root
Value 2000 count 8 Qscore -0.739435173 Final score -0.701935173
Value 0 count 41 Qscore -0.383457160 Final score -0.376140087
Provided hints: 45 successful hints: 45
fullstrong               calls 15         maxdepth 0          time 12.001839000
pscost                   calls 19426      maxdepth 0          time 0.124167000
relpscost                calls 1584       maxdepth 0          time 48.519738000
adaptivediving           calls 596        solns 1     bestsolns 1     time 12.219846000
alns                     calls 85         solns 2     bestsolns 2     time 30.844911000
completesol              calls 45         solns 107   bestsolns 47    time 223.804531000
conflictdiving           calls 64         solns 0     bestsolns 0     time 1.595777000
crossover                calls 19         solns 18    bestsolns 0     time 28.008675000
distributiondiving       calls 60         solns 0     bestsolns 0     time 2.930417000
feaspump                 calls 155        solns 155   bestsolns 5     time 12.292581000
fracdiving               calls 63         solns 0     bestsolns 0     time 1.156491000
guideddiving             calls 53         solns 0     bestsolns 0     time 0.993377000
intshifting              calls 232        solns 9     bestsolns 9     time 19.074603000
linesearchdiving         calls 55         solns 0     bestsolns 0     time 0.950258000
locks                    calls 50         solns 5     bestsolns 5     time 5.370236000
objpscostdiving          calls 46         solns 46    bestsolns 1     time 12.837728000
oneopt                   calls 48         solns 0     bestsolns 0     time 0.089403000
pscostdiving             calls 359        solns 2     bestsolns 2     time 22.558292000
randrounding             calls 419        solns 0     bestsolns 0     time 0.802898000
rens                     calls 22         solns 22    bestsolns 6     time 221.525716000
rins                     calls 60         solns 56    bestsolns 0     time 76.561805000
rootsoldiving            calls 30         solns 30    bestsolns 0     time 12.460305000
rounding                 calls 4834       solns 0     bestsolns 0     time 0.105445000
shifting                 calls 1423       solns 0     bestsolns 0     time 8.631474000
trivial                  calls 40         solns 0     bestsolns 0     time 0.027282000
veclendiving             calls 59         solns 0     bestsolns 0     time 1.089189000
zirounding               calls 7693       solns 0     bestsolns 0     time 0.200383000
domcol                   calls 52         changes 0          time 0.586289000
dualcomp                 calls 52         changes 0          time 0.531166000
dualsparsify             calls 15         changes 0          time 3.564254000
implics                  calls 152        changes 0          time 0.001308000
sparsify                 calls 50         changes 0          time 0.662665000
trivial                  calls 204        changes 109        time 0.003884000
aggregation              calls 798        cuts_found 0          cuts_added 0          time 28.782449000
clique                   calls 11         cuts_found 0          cuts_added 0          time 0.000377000
gomory                   calls 690        cuts_found 10830      cuts_added 765        time 8.310314000
impliedbounds            calls 798        cuts_found 12         cuts_added 2          time 0.014107000
mcf                      calls 11         cuts_found 0          cuts_added 0          time 0.000415000
mixing                   calls 798        cuts_found 0          cuts_added 0          time 0.033969000
rlt                      calls 110        cuts_found 0          cuts_added 0          time 0.000189000
zerohalf                 calls 738        cuts_found 0          cuts_added 0          time 0.087914000
