datasets/testfiles/bnd_series_1.test

600
UP changed 
[END] 2023-06-21T14:20:57

[INSTANCE] bnd_s1_i29.mps.gz
[START] 2023-06-21T14:20:57
[DUALBOUND] 12648.000000000
[END] 2023-06-21T14:27:38

[INSTANCE] bnd_s1_i30.mps.gz
[START] 2023-06-21T14:27:38
[DUALBOUND] 11267.000000000
[END] 2023-06-21T14:37:37

[INSTANCE] bnd_s1_i31.mps.gz
[START] 2023-06-21T14:37:37
[DUALBOUND] 12348.000000000
[END] 2023-06-21T14:47:36

[INSTANCE] bnd_s1_i32.mps.gz
[START] 2023-06-21T14:47:36
[DUALBOUND] 11007.779430142
[END] 2023-06-21T14:57:35

[INSTANCE] bnd_s1_i33.mps.gz
[START] 2023-06-21T14:57:35
[DUALBOUND] 11129.000000000
[END] 2023-06-21T15:07:34

[INSTANCE] bnd_s1_i34.mps.gz
[START] 2023-06-21T15:07:34
[DUALBOUND] 14534.000000000
[END] 2023-06-21T15:13:51

[INSTANCE] bnd_s1_i35.mps.gz
[START] 2023-06-21T15:13:51
[DUALBOUND] 12591.680703569
[END] 2023-06-21T15:23:50

[INSTANCE] bnd_s1_i36.mps.gz
[START] 2023-06-21T15:23:50
[DUALBOUND] 10762.000000000
[END] 2023-06-21T15:33:49

[INSTANCE] bnd_s1_i37.mps.gz
[START] 2023-06-21T15:33:49
[DUALBOUND] 11112.000000000
[END] 2023-06-21T15:43:48

[INSTANCE] bnd_s1_i38.mps.gz
[START] 2023-06-21T15:43:48
[DUALBOUND] 13381.000000000
[END] 2023-06-21T15:45:16

[INSTANCE] bnd_s1_i39.mps.gz
[START] 2023-06-21T15:45:16
[DUALBOUND] 12048.000000000
[END] 2023-06-21T15:48:16

[INSTANCE] bnd_s1_i40.mps.gz
[START] 2023-06-21T15:48:16
[DUALBOUND] 11359.000000000
[END] 2023-06-21T15:58:15

[INSTANCE] bnd_s1_i41.mps.gz
[START] 2023-06-21T15:58:15
[DUALBOUND] 11989.000000000
[END] 2023-06-21T16:01:39

[INSTANCE] bnd_s1_i42.mps.gz
[START] 2023-06-21T16:01:39
[DUALBOUND] 11874.000000000
[END] 2023-06-21T16:07:33

[INSTANCE] bnd_s1_i43.mps.gz
[START] 2023-06-21T16:07:33
[DUALBOUND] 13167.000000000
[END] 2023-06-21T16:13:41

[INSTANCE] bnd_s1_i44.mps.gz
[START] 2023-06-21T16:13:41
[DUALBOUND] 11749.000000000
[END] 2023-06-21T16:16:54

[INSTANCE] bnd_s1_i45.mps.gz
[START] 2023-06-21T16:16:54
[DUALBOUND] 10706.000000000
[END] 2023-06-21T16:26:53

[INSTANCE] bnd_s1_i46.mps.gz
[START] 2023-06-21T16:26:53
[DUALBOUND] 11386.000000000
[END] 2023-06-21T16:36:52

[INSTANCE] bnd_s1_i47.mps.gz
[START] 2023-06-21T16:36:52
[DUALBOUND] 13610.000000000
[END] 2023-06-21T16:39:20

[INSTANCE] bnd_s1_i48.mps.gz
[START] 2023-06-21T16:39:20
[DUALBOUND] 11057.000000000
[END] 2023-06-21T16:49:19

[INSTANCE] bnd_s1_i49.mps.gz
[START] 2023-06-21T16:49:19
[DUALBOUND] 11166.000000000
[END] 2023-06-21T16:59:18

[INSTANCE] bnd_s1_i50.mps.gz
[START] 2023-06-21T16:59:18
[DUALBOUND] 14555.000000000
[END] 2023-06-21T17:05:51

Provided hints: 49 successful hints: 25
