datasets/testfiles/matrix_series_1.test

300
MAT changed 
[END] 2023-06-23T11:44:42

[INSTANCE] mat_s1_i17.mps.gz
[START] 2023-06-23T11:44:43
[DUALBOUND] 58.756458575
[END] 2023-06-23T11:49:42

[INSTANCE] mat_s1_i18.mps.gz
[START] 2023-06-23T11:49:42
[DUALBOUND] 62.742827042
[END] 2023-06-23T11:52:06

[INSTANCE] mat_s1_i19.mps.gz
[START] 2023-06-23T11:52:06
[DUALBOUND] 61.647749130
[END] 2023-06-23T11:56:09

[INSTANCE] mat_s1_i20.mps.gz
[START] 2023-06-23T11:56:09
[DUALBOUND] 59.191288722
[END] 2023-06-23T12:01:08

[INSTANCE] mat_s1_i21.mps.gz
[START] 2023-06-23T12:01:08
[DUALBOUND] 60.520722968
[END] 2023-06-23T12:06:07

[INSTANCE] mat_s1_i22.mps.gz
[START] 2023-06-23T12:06:07
[DUALBOUND] 60.879667746
[END] 2023-06-23T12:10:33

[INSTANCE] mat_s1_i23.mps.gz
[START] 2023-06-23T12:10:33
[DUALBOUND] 60.772164249
[END] 2023-06-23T12:14:44

[INSTANCE] mat_s1_i24.mps.gz
[START] 2023-06-23T12:14:45
[DUALBOUND] 59.058756980
[END] 2023-06-23T12:19:44

[INSTANCE] mat_s1_i25.mps.gz
[START] 2023-06-23T12:19:44
[DUALBOUND] 62.337319322
[END] 2023-06-23T12:23:34

[INSTANCE] mat_s1_i26.mps.gz
[START] 2023-06-23T12:23:34
[DUALBOUND] 59.256899647
[END] 2023-06-23T12:28:33

[INSTANCE] mat_s1_i27.mps.gz
[START] 2023-06-23T12:28:33
[DUALBOUND] 55.408745051
[END] 2023-06-23T12:33:32

[INSTANCE] mat_s1_i28.mps.gz
[START] 2023-06-23T12:33:32
[DUALBOUND] 62.152735725
[END] 2023-06-23T12:38:17

[INSTANCE] mat_s1_i29.mps.gz
[START] 2023-06-23T12:38:17
[DUALBOUND] 61.215398989
[END] 2023-06-23T12:43:02

[INSTANCE] mat_s1_i30.mps.gz
[START] 2023-06-23T12:43:02
[DUALBOUND] 59.186763342
[END] 2023-06-23T12:48:01

[INSTANCE] mat_s1_i31.mps.gz
[START] 2023-06-23T12:48:01
[DUALBOUND] 57.990256163
[END] 2023-06-23T12:53:00

[INSTANCE] mat_s1_i32.mps.gz
[START] 2023-06-23T12:53:00
[DUALBOUND] 62.650690970
[END] 2023-06-23T12:57:57

[INSTANCE] mat_s1_i33.mps.gz
[START] 2023-06-23T12:57:57
[DUALBOUND] 55.180286304
[END] 2023-06-23T13:02:56

[INSTANCE] mat_s1_i34.mps.gz
[START] 2023-06-23T13:02:56
[DUALBOUND] 60.262112272
[END] 2023-06-23T13:07:14

[INSTANCE] mat_s1_i35.mps.gz
[START] 2023-06-23T13:07:14
[DUALBOUND] 59.467992786
[END] 2023-06-23T13:12:13

[INSTANCE] mat_s1_i36.mps.gz
[START] 2023-06-23T13:12:13
[DUALBOUND] 59.294678178
[END] 2023-06-23T13:17:12

[INSTANCE] mat_s1_i37.mps.gz
[START] 2023-06-23T13:17:12
[DUALBOUND] 58.573445188
[END] 2023-06-23T13:22:11

[INSTANCE] mat_s1_i38.mps.gz
[START] 2023-06-23T13:22:11
[DUALBOUND] 61.039619946
[END] 2023-06-23T13:27:10

[INSTANCE] mat_s1_i39.mps.gz
[START] 2023-06-23T13:27:10
[DUALBOUND] 62.042063895
[END] 2023-06-23T13:31:42

[INSTANCE] mat_s1_i40.mps.gz
[START] 2023-06-23T13:31:42
[DUALBOUND] 61.894997237
[END] 2023-06-23T13:35:21

[INSTANCE] mat_s1_i41.mps.gz
[START] 2023-06-23T13:35:21
[DUALBOUND] 60.765052018
[END] 2023-06-23T13:39:12

[INSTANCE] mat_s1_i42.mps.gz
[START] 2023-06-23T13:39:12
[DUALBOUND] 58.516734158
[END] 2023-06-23T13:44:11

[INSTANCE] mat_s1_i43.mps.gz
[START] 2023-06-23T13:44:11
[DUALBOUND] 59.675770180
[END] 2023-06-23T13:49:10

[INSTANCE] mat_s1_i44.mps.gz
[START] 2023-06-23T13:49:10
[DUALBOUND] 61.556846583
[END] 2023-06-23T13:53:17

[INSTANCE] mat_s1_i45.mps.gz
[START] 2023-06-23T13:53:17
[DUALBOUND] 60.636150427
[END] 2023-06-23T13:57:06

[INSTANCE] mat_s1_i46.mps.gz
[START] 2023-06-23T13:57:06
[DUALBOUND] 60.066023174
[END] 2023-06-23T14:02:05

[INSTANCE] mat_s1_i47.mps.gz
[START] 2023-06-23T14:02:06
[DUALBOUND] 55.200446537
[END] 2023-06-23T14:07:05

[INSTANCE] mat_s1_i48.mps.gz
[START] 2023-06-23T14:07:05
[DUALBOUND] 60.122312648
[END] 2023-06-23T14:12:04

[INSTANCE] mat_s1_i49.mps.gz
[START] 2023-06-23T14:12:04
[DUALBOUND] 61.805371517
[END] 2023-06-23T14:14:26

[INSTANCE] mat_s1_i50.mps.gz
[START] 2023-06-23T14:14:26
[DUALBOUND] 62.092715140
[END] 2023-06-23T14:18:22

Provided hints: 0 successful hints: 0
