datasets/testfiles/rhs_series_2.test

60
RHS changed 
[START] 2023-06-23T11:02:07
[DUALBOUND] -17192.215609009
[END] 2023-06-23T11:03:06

[INSTANCE] rhs_s2_i29.mps.gz
[START] 2023-06-23T11:03:06
[DUALBOUND] -17186.770175485
[END] 2023-06-23T11:04:05

[INSTANCE] rhs_s2_i30.mps.gz
[START] 2023-06-23T11:04:05
[DUALBOUND] -17197.025234940
[END] 2023-06-23T11:05:04

[INSTANCE] rhs_s2_i31.mps.gz
[START] 2023-06-23T11:05:04
[DUALBOUND] -17189.606579876
[END] 2023-06-23T11:06:03

[INSTANCE] rhs_s2_i32.mps.gz
[START] 2023-06-23T11:06:03
[DUALBOUND] -17185.921764767
[END] 2023-06-23T11:07:02

[INSTANCE] rhs_s2_i33.mps.gz
[START] 2023-06-23T11:07:02
[DUALBOUND] -17200.184609799
[END] 2023-06-23T11:08:01

[INSTANCE] rhs_s2_i34.mps.gz
[START] 2023-06-23T11:08:01
[DUALBOUND] -17193.244505954
[END] 2023-06-23T11:09:00

[INSTANCE] rhs_s2_i35.mps.gz
[START] 2023-06-23T11:09:00
[DUALBOUND] -17197.603767782
[END] 2023-06-23T11:09:59

[INSTANCE] rhs_s2_i36.mps.gz
[START] 2023-06-23T11:09:59
[DUALBOUND] -17184.317723956
[END] 2023-06-23T11:10:59

[INSTANCE] rhs_s2_i37.mps.gz
[START] 2023-06-23T11:10:59
[DUALBOUND] -17186.427450379
[END] 2023-06-23T11:11:58

[INSTANCE] rhs_s2_i38.mps.gz
[START] 2023-06-23T11:11:58
[DUALBOUND] -17192.674140962
[END] 2023-06-23T11:12:57

[INSTANCE] rhs_s2_i39.mps.gz
[START] 2023-06-23T11:12:57
[DUALBOUND] -17170.452779256
[END] 2023-06-23T11:13:55

[INSTANCE] rhs_s2_i40.mps.gz
[START] 2023-06-23T11:13:55
[DUALBOUND] -17170.560042528
[END] 2023-06-23T11:14:50

[INSTANCE] rhs_s2_i41.mps.gz
[START] 2023-06-23T11:14:50
[DUALBOUND] -17184.401229184
[END] 2023-06-23T11:15:49

[INSTANCE] rhs_s2_i42.mps.gz
[START] 2023-06-23T11:15:49
[DUALBOUND] -17190.292728860
[END] 2023-06-23T11:16:48

[INSTANCE] rhs_s2_i43.mps.gz
[START] 2023-06-23T11:16:48
[DUALBOUND] -17183.785828414
[END] 2023-06-23T11:17:47

[INSTANCE] rhs_s2_i44.mps.gz
[START] 2023-06-23T11:17:47
[DUALBOUND] -17195.024664001
[END] 2023-06-23T11:18:46

[INSTANCE] rhs_s2_i45.mps.gz
[START] 2023-06-23T11:18:46
[DUALBOUND] -17198.343864515
[END] 2023-06-23T11:19:45

[INSTANCE] rhs_s2_i46.mps.gz
[START] 2023-06-23T11:19:45
[DUALBOUND] -17186.716098293
[END] 2023-06-23T11:20:44

[INSTANCE] rhs_s2_i47.mps.gz
[START] 2023-06-23T11:20:45
[DUALBOUND] -17187.741990147
[END] 2023-06-23T11:21:44

[INSTANCE] rhs_s2_i48.mps.gz
[START] 2023-06-23T11:21:44
[DUALBOUND] -17186.608893382
[END] 2023-06-23T11:22:43

[INSTANCE] rhs_s2_i49.mps.gz
[START] 2023-06-23T11:22:43
[DUALBOUND] -17182.483616160
[END] 2023-06-23T11:23:42

[INSTANCE] rhs_s2_i50.mps.gz
[START] 2023-06-23T11:23:42
[DUALBOUND] -17195.553571030
[END] 2023-06-23T11:24:41

Provided hints: 0 successful hints: 0
